"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"SW1","SWITCH_PB_REVERSED_082907","2710mil","400mil","2710mil","400mil","2610mil","620mil","T","270.00","SWITCH"
"R25","0603","1640mil","1095mil","1640mil","1125mil","1640mil","1125mil","T","270.00","1M"
"SP1","SPEAKER_12mmx12mm_011012","2190mil","390mil","2190mil","390mil","1969.528mil","390mil","T","0.00","4000 Hz"
"C25","0603","1865mil","1095mil","1865mil","1065mil","1865mil","1065mil","T","90.00","1nf"
"E3","ANTENNA1","98mil","1275mil","98mil","1275mil","98mil","1275mil","T","90.00","*"
"E2","Antenna1","76mil","501mil","76mil","501mil","76mil","501mil","T","90.00","*"
"R1","0603","685mil","910mil","715mil","910mil","715mil","910mil","T","180.00","4.7K"
"R29","0603","1250mil","405mil","1250mil","435mil","1250mil","435mil","T","270.00","1M"
"L4","COIL_6MMX6MM_011012","1665mil","325mil","1665mil","325mil","1540mil","364.5mil","T","360.00","TRANSFORMER"
"SW2","SQ-SEN-DUAL1","1750mil","1050mil","1750mil","1050mil","1750mil","955.512mil","T","90.00","SWITCH PB"
"B1","BATTERY_COIN_CR2032","2358.016mil","722.016mil","2548.016mil","811.016mil","2548.016mil","722.016mil","T","360.00","BATTERY"

