"Part Type","Designator","Footprint","Description"
"TP","TP14","TESTPOINT-1",""
"TP","TP5","TESTPOINT-1",""
"TP","TP25","TESTPOINT-1",""
"TP","TP24","TESTPOINT-1",""
"TP","TP3","TESTPOINT-1",""
"TP","TP27","TESTPOINT-1",""
"TP","TP26","TESTPOINT-1",""
"TP","TP22","TESTPOINT-1",""
"TP","TP15","TESTPOINT-1",""
"TP","TP23","TESTPOINT-1",""
"TP","TP4","TESTPOINT-1",""
"TP","TP20","TESTPOINT-1",""
"TP","J17","TEST POINT PAD 3","Connector"
"TP","J18","TEST POINT PAD 3","Connector"
"TP","J19","TEST POINT PAD 3","Connector"
"TP","J16","TEST POINT PAD 3","Connector"
"TPS73615DCQ","U22","SOT223-5",""
"XPORT RJ45","J4","CONN XPORT",""
