"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Q6","SOT-23","609.333mil","851.3mil","658.833mil","814.3mil","658.833mil","814.3mil","T","0.00","2N3904"
"Q4","SOT-23","609.333mil","976.3mil","658.833mil","939.3mil","658.833mil","939.3mil","T","0.00","2N3904"
"C8","CAP_A_CASE","3322.333mil","1107.3mil","3322.333mil","1172.3mil","3322.333mil","1172.3mil","T","270.00","22uF"
"J8","HDR5","159.833mil","1527.3mil","359.833mil","1527.3mil","359.833mil","1527.3mil","T","180.00","1X5 HEADER"
"J10","HDR_10","2037.333mil","2059.8mil","2487.333mil","2059.8mil","2487.333mil","2059.8mil","T","270.00","1X10 HEADER"
"D3","SOD123","3662.333mil","1404.8mil","3662.333mil","1474.8mil","3662.333mil","1334.8mil","T","270.00","1N4148"
"D2","SOD123","1705.333mil","502.3mil","1705.333mil","432.3mil","1705.333mil","572.3mil","T","90.00","1N4148"
"R61","0603","2844.376mil","1787.3mil","2814.376mil","1787.3mil","2814.376mil","1787.3mil","T","0.00","1K"
"R60","0603","2844.376mil","1907.3mil","2874.376mil","1907.3mil","2874.376mil","1907.3mil","T","180.00","1K"
"R59","0603","3159.376mil","1597.3mil","3159.376mil","1627.3mil","3159.376mil","1627.3mil","T","270.00","1K"
"R58","0603","2954.833mil","1597.3mil","2954.833mil","1627.3mil","2954.833mil","1627.3mil","T","270.00","1K"
"R29","0603","-475.167mil","1302.3mil","-505.167mil","1302.3mil","-505.167mil","1302.3mil","T","360.00","180"
"L3","COIL_COILTRONICS_UP2B-150","1812.204mil","-9.2mil","1812.204mil","228.3mil","1812.204mil","228.3mil","T","270.00","15uH"
"R15","0603","-171.167mil","732.8mil","-141.167mil","732.8mil","-141.167mil","732.8mil","T","180.00","150"
"R28","0603","-475.167mil","672.3mil","-505.167mil","672.3mil","-505.167mil","672.3mil","T","360.00","120"
"C12","CAP_A_CASE","2904.833mil","177.3mil","2969.833mil","177.3mil","2969.833mil","177.3mil","T","180.00","10uF"
"C11","CAP_A_CASE","2309.833mil","967.3mil","2309.833mil","1032.3mil","2309.833mil","1032.3mil","T","270.00","10uF"
"R68","0603","1242.333mil","2143.3mil","1212.333mil","2143.3mil","1212.333mil","2143.3mil","T","0.00","10K"
"R67","0603","102.333mil","2378.3mil","102.333mil","2348.3mil","102.333mil","2348.3mil","T","90.00","10K"
"R66","0603","222.333mil","2378.3mil","222.333mil","2408.3mil","222.333mil","2408.3mil","T","270.00","10K"
