"Part Type","Designator","Footprint"
"AWI501E","U103","SSOP28"
"BAR 65","D3","DIODE SC79"
"BFR193","Q4","SOT23 TRANS"
"BFR193","Q5","SOT23 TRANS"
"BGA2001","U1","SOT343"
"BLED","D102","SOD123 DIODE"
"CON10","J105","1X10 HEADER"
"CONN NEARSON NC-K01","J3","CONN NEARSON NC-K01"
"CONN NEARSON NC-K01","J4","CONN NEARSON NC-K01"
"CRY-16-MHZ","U106","SMT OSCILLATOR"
"DS1804","U5","SO8 SMALL"
"FB 0603","FB101","0603"
"FB","FB3","0603"
"FB","FB1","0603"
"FB","FB2","0603"
"FB","FB4","0603"
"GLED","D103","SOD123 DIODE"
"LMC555","U9","SO8 SMALL"
"LMC555","U10","SO8 SMALL"
"LMV821","U8","SOT25"
"LMV821","U4","SOT25"
"MAX202CSE","U104","SO16"
"MBR0520","D105","SOD123"
"Microstrip","L13","MICROSTRIP"
"Microstrip","L5","MICROSTRIP"
"NE85619","Q1","3 PIN ULTRA SUPER MINI MOLD"
"NE85619","Q6","3 PIN ULTRA SUPER MINI MOLD"
"PCMCIA CONNECTOR","J111","CONN PCMCIA BOT"
"REG LINEAR LT1930","U107","SOT23-5A"
"RLED","D101","SOD123 DIODE"
"SA636DK","U2","SSOP20"
"TLV1391","U3","SOT25"
"TLV1391","U11","SOT25"
"TP","TP122","TEST POINT PAD"
"TP","TP125","TEST POINT PAD"
"TP","TP124","TEST POINT PAD"
"TP","TP123","TEST POINT PAD"
"TP","TP120","TEST POINT PAD"
"TP","TP116","TEST POINT PAD"
"TP","TP115","TEST POINT PAD"
"TP","TP114","TEST POINT PAD"
"TP","TP101","TEST POINT PAD"
"TP","TP117","TEST POINT PAD"
"TP","TP110","TEST POINT PAD"
"TP","TP109","TEST POINT PAD"
"TP","TP111","TEST POINT PAD"
"TP","TP113","TEST POINT PAD"
"TP","TP112","TEST POINT PAD"
"TP","TP108","TEST POINT PAD"
"TP","TP107","TEST POINT PAD"
"TP","TP119","TEST POINT PAD"
"TP","TP121","TEST POINT PAD"
"TP","TP118","TEST POINT PAD"
"TP","TP102","TEST POINT PAD"
"TP","TP103","TEST POINT PAD"
"TP","TP105","TEST POINT PAD"
"TP","TP106","TEST POINT PAD"
"TP","TP104","TEST POINT PAD"
"UPG52TA","U7","TO6"
"VPU16551-CBGA64","U301","BGA68"
